comparison,condition_a,condition_b,delta,metric,seed,sign,value_a,value_b
naive_minus_clean,contaminated_all,clean,-0.006475211762614189,auprc,42,negative,0.09505026959358408,0.10152548135619827
naive_minus_clean,contaminated_all,clean,-0.021458390408121364,auroc,42,negative,0.7968901394934514,0.8183485299015728
naive_minus_clean,contaminated_all,clean,0.0025528145032446548,f1_max,42,positive,0.19330336049339145,0.1907505459901468
naive_minus_clean,contaminated_all,clean,-0.10247073157292846,fixed_f1,42,negative,0.07848236265221298,0.18095309422514144
naive_minus_clean,contaminated_all,clean,-0.0422524343279293,fixed_precision,42,negative,0.08474981181232619,0.1270022461402555
naive_minus_clean,contaminated_all,clean,-0.2415148093662124,fixed_recall,42,negative,0.07307806666886914,0.3145928760350815
naive_minus_clean,contaminated_all,clean,51200.0,memory_bank_size,42,positive,64000.0,12800.0
naive_minus_clean,contaminated_all,clean,-0.019595746651149007,auprc,43,negative,0.10845102653591852,0.12804677318706753
naive_minus_clean,contaminated_all,clean,0.008444525848055773,auroc,43,positive,0.8130921794200842,0.8046476535720284
naive_minus_clean,contaminated_all,clean,-0.01760244206459627,f1_max,43,negative,0.21094886801953078,0.22855131008412705
naive_minus_clean,contaminated_all,clean,-0.09252482614917015,fixed_f1,43,negative,0.13417525885331788,0.22670008500248803
naive_minus_clean,contaminated_all,clean,-0.04715611545963502,fixed_precision,43,negative,0.13069988907029112,0.17785600452992614
naive_minus_clean,contaminated_all,clean,-0.17468852815829822,fixed_recall,43,negative,0.13784050076471172,0.31252902892300993
naive_minus_clean,contaminated_all,clean,51200.0,memory_bank_size,43,positive,64000.0,12800.0
naive_minus_clean,contaminated_all,clean,0.024313645408890694,auprc,44,positive,0.11201340650578116,0.08769976109689047
naive_minus_clean,contaminated_all,clean,0.06163800263955488,auroc,44,positive,0.8064954966188478,0.7448574939792929
naive_minus_clean,contaminated_all,clean,0.03973005231614646,f1_max,44,positive,0.2129660710972352,0.17323601878108874
naive_minus_clean,contaminated_all,clean,0.08244563812969521,fixed_f1,44,positive,0.13348322726125075,0.05103758913155554
naive_minus_clean,contaminated_all,clean,0.055439342032623865,fixed_precision,44,positive,0.15168724137334003,0.09624789934071616
naive_minus_clean,contaminated_all,clean,0.08445448945047643,fixed_recall,44,positive,0.11918036896611366,0.034725879515637235
naive_minus_clean,contaminated_all,clean,51200.0,memory_bank_size,44,positive,64000.0,12800.0
naive_minus_clean,contaminated_all,clean,-0.0030933534413054714,auprc,45,negative,0.10353992553184505,0.10663327897315052
naive_minus_clean,contaminated_all,clean,0.009664169585946625,auroc,45,positive,0.7989804445512774,0.7893162749653307
naive_minus_clean,contaminated_all,clean,0.004688552729456508,f1_max,45,positive,0.20149172672750926,0.19680317399805275
naive_minus_clean,contaminated_all,clean,0.08846500425921452,fixed_f1,45,positive,0.11560114463304662,0.0271361403738321
naive_minus_clean,contaminated_all,clean,0.008451863470487514,fixed_precision,45,positive,0.12736368675493437,0.11891182328444685
naive_minus_clean,contaminated_all,clean,0.09051193902517234,fixed_recall,45,positive,0.10582755022125141,0.01531561119607908
naive_minus_clean,contaminated_all,clean,51200.0,memory_bank_size,45,positive,64000.0,12800.0
naive_minus_clean,contaminated_all,clean,-0.0006889855708875625,auprc,46,negative,0.08436627968061318,0.08505526525150074
naive_minus_clean,contaminated_all,clean,0.00047903606718091574,auroc,46,positive,0.7625268859532206,0.7620478498860397
naive_minus_clean,contaminated_all,clean,0.011832301321966499,f1_max,46,positive,0.1699234593978806,0.1580911580759141
naive_minus_clean,contaminated_all,clean,0.08536455841245583,fixed_f1,46,positive,0.08967347879054534,0.004308920378089505
naive_minus_clean,contaminated_all,clean,0.06059056834560827,fixed_precision,46,positive,0.09620998394570486,0.03561941560009659
naive_minus_clean,contaminated_all,clean,0.08167548627697138,fixed_recall,46,positive,0.08396864973482868,0.0022931634578572915
naive_minus_clean,contaminated_all,clean,51200.0,memory_bank_size,46,positive,64000.0,12800.0
auto_minus_naive,auto_purified,contaminated_all,0.002967872092286397,auprc,42,positive,0.09801814168587047,0.09505026959358408
auto_minus_naive,auto_purified,contaminated_all,0.004461131333056478,auroc,42,positive,0.8013512708265079,0.7968901394934514
auto_minus_naive,auto_purified,contaminated_all,0.0043154038554220064,f1_max,42,positive,0.19761876434881345,0.19330336049339145
auto_minus_naive,auto_purified,contaminated_all,-0.04371108729543185,fixed_f1,42,negative,0.03477127535678113,0.07848236265221298
auto_minus_naive,auto_purified,contaminated_all,-0.0315251231843662,fixed_precision,42,negative,0.05322468862795999,0.08474981181232619
auto_minus_naive,auto_purified,contaminated_all,-0.04725860082048611,fixed_recall,42,negative,0.025819465848383027,0.07307806666886914
auto_minus_naive,auto_purified,contaminated_all,-2108.0,memory_bank_size,42,negative,61892.0,64000.0
auto_minus_naive,auto_purified,contaminated_all,0.00619041550820823,auprc,43,positive,0.11464144204412675,0.10845102653591852
auto_minus_naive,auto_purified,contaminated_all,0.002964860214219045,auroc,43,positive,0.8160570396343032,0.8130921794200842
auto_minus_naive,auto_purified,contaminated_all,0.006490600863737428,f1_max,43,positive,0.2174394688832682,0.21094886801953078
auto_minus_naive,auto_purified,contaminated_all,-0.046127867738163006,fixed_f1,43,negative,0.08804739111515487,0.13417525885331788
auto_minus_naive,auto_purified,contaminated_all,-0.00971672248572486,fixed_precision,43,negative,0.12098316658456626,0.13069988907029112
auto_minus_naive,auto_purified,contaminated_all,-0.0686336049501237,fixed_recall,43,negative,0.06920689581458801,0.13784050076471172
auto_minus_naive,auto_purified,contaminated_all,-1860.0,memory_bank_size,43,negative,62140.0,64000.0
auto_minus_naive,auto_purified,contaminated_all,8.12967966226652e-06,auprc,44,positive,0.11202153618544343,0.11201340650578116
auto_minus_naive,auto_purified,contaminated_all,2.1466113263590714e-06,auroc,44,positive,0.8064976432301741,0.8064954966188478
auto_minus_naive,auto_purified,contaminated_all,7.444787947452625e-06,f1_max,44,positive,0.21297351588518265,0.2129660710972352
auto_minus_naive,auto_purified,contaminated_all,-0.12482352794615131,fixed_f1,44,negative,0.008659699315099443,0.13348322726125075
auto_minus_naive,auto_purified,contaminated_all,-0.12615407109193272,fixed_precision,44,negative,0.025533170281407322,0.15168724137334003
auto_minus_naive,auto_purified,contaminated_all,-0.1139663371377822,fixed_recall,44,negative,0.005214031828331451,0.11918036896611366
auto_minus_naive,auto_purified,contaminated_all,-10.0,memory_bank_size,44,negative,63990.0,64000.0
auto_minus_naive,auto_purified,contaminated_all,1.8615204922939332e-06,auprc,45,positive,0.10354178705233734,0.10353992553184505
auto_minus_naive,auto_purified,contaminated_all,1.2866812604261924e-06,auroc,45,positive,0.7989817312325378,0.7989804445512774
auto_minus_naive,auto_purified,contaminated_all,0.0,f1_max,45,zero,0.20149172672750926,0.20149172672750926
auto_minus_naive,auto_purified,contaminated_all,-0.11458378785313043,fixed_f1,45,negative,0.0010173567799161803,0.11560114463304662
auto_minus_naive,auto_purified,contaminated_all,-0.11386224726322386,fixed_precision,45,negative,0.013501439491710513,0.12736368675493437
auto_minus_naive,auto_purified,contaminated_all,-0.10529895661062669,fixed_recall,45,negative,0.0005285936106247316,0.10582755022125141
auto_minus_naive,auto_purified,contaminated_all,-2.0,memory_bank_size,45,negative,63998.0,64000.0
auto_minus_naive,auto_purified,contaminated_all,0.0,auprc,46,zero,0.08436627968061318,0.08436627968061318
auto_minus_naive,auto_purified,contaminated_all,0.0,auroc,46,zero,0.7625268859532206,0.7625268859532206
auto_minus_naive,auto_purified,contaminated_all,0.0,f1_max,46,zero,0.1699234593978806,0.1699234593978806
auto_minus_naive,auto_purified,contaminated_all,-0.0893051632332839,fixed_f1,46,negative,0.00036831555726143814,0.08967347879054534
auto_minus_naive,auto_purified,contaminated_all,-0.022509440889071808,fixed_precision,46,negative,0.07370054305663305,0.09620998394570486
auto_minus_naive,auto_purified,contaminated_all,-0.08378403064288253,fixed_recall,46,negative,0.00018461909194613787,0.08396864973482868
auto_minus_naive,auto_purified,contaminated_all,0.0,memory_bank_size,46,zero,64000.0,64000.0
